"","Company.Name","Ticker.Symbol","Year"
"545","INTERNATIONAL BUSINESS MACHINES CORP","IBM","2020"
"546"," WORLD FUEL SERVICES CORPORATION","INT","2021"
"547","UNITED NATURAL FOODS INC","UNFI","2020"
"548","WestRock Co","WRK","2020"
"549","Albertsons Companies, Inc. ","ACI","2020"
"550","INTEL CORPORATION","INTC","2021"
"551","ViacomCBS","VIAC","2020"
"552","THE PNC FINANCIAL SERVICES GROUP","PNC","2020"
"553","JPMorgan Chase & Co.","JPM","2020"
"554","Facebook, Inc.","FB","2021"
"555","Dominion Energy, Inc.","D","2020"
"556","Morgan Stanley","MS","2020"
"557","Oracle Corporation","ORCL","2020"
"558","Anthem, Inc.","ANTM","2020"
"559","Chevron Corporation","CVX","2020"
"560","General Motors","GM","2020"
"561","Metlife, Inc.","MET","2020"
"562","Caterpillar","CAT","2020"
"563","Kaufman and Broad Home Corporation","KBH","2022"
